,ID,Date,HomeTeam,AwayTeam,Result
0,https://www.nhl.com/gamecenter/2007020001,2007/09/29,Los Angeles Kings,Anaheim Ducks,H
1,https://www.nhl.com/gamecenter/2007020002,2007/09/30,Anaheim Ducks,Los Angeles Kings,H
2,https://www.nhl.com/gamecenter/2007020003,2007/10/03,Carolina Hurricanes,Montréal Canadiens,A
3,https://www.nhl.com/gamecenter/2007020004,2007/10/03,Detroit Red Wings,Anaheim Ducks,H
4,https://www.nhl.com/gamecenter/2007020005,2007/10/03,Toronto Maple Leafs,Ottawa Senators,A
5,https://www.nhl.com/gamecenter/2007020006,2007/10/03,Colorado Avalanche,Dallas Stars,H
6,https://www.nhl.com/gamecenter/2007020007,2007/10/04,New York Rangers,Florida Panthers,H
7,https://www.nhl.com/gamecenter/2007020008,2007/10/04,Ottawa Senators,Toronto Maple Leafs,H
8,https://www.nhl.com/gamecenter/2007020009,2007/10/04,Tampa Bay Lightning,New Jersey Devils,H
9,https://www.nhl.com/gamecenter/2007020010,2007/10/04,Nashville Predators,Colorado Avalanche,H
10,https://www.nhl.com/gamecenter/2007020011,2007/10/04,Minnesota Wild,Chicago Blackhawks,H
11,https://www.nhl.com/gamecenter/2007020012,2007/10/04,Calgary Flames,Philadelphia Flyers,A
12,https://www.nhl.com/gamecenter/2007020013,2007/10/04,Edmonton Oilers,San Jose Sharks,H
13,https://www.nhl.com/gamecenter/2007020014,2007/10/04,Coyotes,St. Louis Blues,H
14,https://www.nhl.com/gamecenter/2007020015,2007/10/05,Carolina Hurricanes,Pittsburgh Penguins,H
15,https://www.nhl.com/gamecenter/2007020016,2007/10/05,Columbus Blue Jackets,Anaheim Ducks,H
16,https://www.nhl.com/gamecenter/2007020017,2007/10/05,Buffalo Sabres,New York Islanders,A
17,https://www.nhl.com/gamecenter/2007020018,2007/10/05,Atlanta Thrashers,Washington Capitals,A
18,https://www.nhl.com/gamecenter/2007020019,2007/10/05,Dallas Stars,Boston Bruins,H
19,https://www.nhl.com/gamecenter/2007020020,2007/10/05,Vancouver Canucks,San Jose Sharks,A
20,https://www.nhl.com/gamecenter/2007020021,2007/10/06,Edmonton Oilers,Philadelphia Flyers,H
21,https://www.nhl.com/gamecenter/2007020022,2007/10/06,Toronto Maple Leafs,Montréal Canadiens,H
22,https://www.nhl.com/gamecenter/2007020023,2007/10/06,Ottawa Senators,New York Rangers,H
23,https://www.nhl.com/gamecenter/2007020024,2007/10/06,New York Islanders,Buffalo Sabres,H
24,https://www.nhl.com/gamecenter/2007020025,2007/10/06,Washington Capitals,Carolina Hurricanes,H
25,https://www.nhl.com/gamecenter/2007020026,2007/10/06,Florida Panthers,New Jersey Devils,A
26,https://www.nhl.com/gamecenter/2007020027,2007/10/06,Pittsburgh Penguins,Anaheim Ducks,H
27,https://www.nhl.com/gamecenter/2007020028,2007/10/06,Tampa Bay Lightning,Atlanta Thrashers,H
28,https://www.nhl.com/gamecenter/2007020029,2007/10/06,Nashville Predators,Dallas Stars,H
29,https://www.nhl.com/gamecenter/2007020030,2007/10/06,Minnesota Wild,Columbus Blue Jackets,H
30,https://www.nhl.com/gamecenter/2007020031,2007/10/06,Chicago Blackhawks,Detroit Red Wings,H
31,https://www.nhl.com/gamecenter/2007020032,2007/10/06,Calgary Flames,Vancouver Canucks,A
32,https://www.nhl.com/gamecenter/2007020033,2007/10/06,Coyotes,Boston Bruins,A
33,https://www.nhl.com/gamecenter/2007020034,2007/10/06,Los Angeles Kings,St. Louis Blues,A
34,https://www.nhl.com/gamecenter/2007020035,2007/10/07,Colorado Avalanche,San Jose Sharks,H
35,https://www.nhl.com/gamecenter/2007020036,2007/10/08,New York Islanders,Washington Capitals,A
36,https://www.nhl.com/gamecenter/2007020037,2007/10/08,Ottawa Senators,New Jersey Devils,H
37,https://www.nhl.com/gamecenter/2007020038,2007/10/08,Detroit Red Wings,Edmonton Oilers,H
38,https://www.nhl.com/gamecenter/2007020039,2007/10/09,Toronto Maple Leafs,Carolina Hurricanes,A
39,https://www.nhl.com/gamecenter/2007020040,2007/10/10,New York Islanders,New York Rangers,H
40,https://www.nhl.com/gamecenter/2007020041,2007/10/10,Atlanta Thrashers,Ottawa Senators,A
41,https://www.nhl.com/gamecenter/2007020042,2007/10/10,Columbus Blue Jackets,Coyotes,H
42,https://www.nhl.com/gamecenter/2007020043,2007/10/10,Pittsburgh Penguins,Montréal Canadiens,A
43,https://www.nhl.com/gamecenter/2007020044,2007/10/10,Tampa Bay Lightning,Florida Panthers,H
44,https://www.nhl.com/gamecenter/2007020045,2007/10/10,Detroit Red Wings,Calgary Flames,H
45,https://www.nhl.com/gamecenter/2007020046,2007/10/10,Minnesota Wild,Edmonton Oilers,H
46,https://www.nhl.com/gamecenter/2007020047,2007/10/10,Chicago Blackhawks,San Jose Sharks,A
47,https://www.nhl.com/gamecenter/2007020048,2007/10/10,St. Louis Blues,Nashville Predators,H
